noun,num_counts,accuracy,overlap,avg_LL_delta
paper,4,1.0,0.0,-2.0665435791015625
passage,6,1.0,1.0,-3.043818155924479
pastry,3,1.0,1.0,-1.7239583333333333
patissier,3,0.0,1.0,-1.4219563802083333
pattern,5,1.0,1.0,-3.0714599609375
peddler,3,0.0,0.0,-1.895751953125
pepper,3,1.0,1.0,-1.5362955729166667
person,30,0.0,0.0,-2.307908121744792
photographer,2,0.0,1.0,-1.62506103515625
pianist,2,0.0,1.0,-1.6097412109375
piano,2,1.0,1.0,-2.11676025390625
pie,3,1.0,1.0,-2.0316569010416665
pilot,7,0.0,0.0,-1.6539829799107142
pizza,3,1.0,1.0,-1.7447916666666667
plane,3,1.0,1.0,-2.2132771809895835
poem,2,1.0,0.0,-2.49920654296875
poet,2,0.0,0.0,-1.61749267578125
portraitist,4,0.0,0.0,-1.804351806640625
pot,3,1.0,1.0,-2.10357666015625
potato,3,1.0,1.0,-1.770751953125
potter,3,0.0,1.0,-1.6352945963541667
product,3,1.0,0.0,-1.8642578125
professor,2,0.0,1.0,-1.781005859375
proposal,2,1.0,0.0,-1.99945068359375
pumpkin,4,1.0,1.0,-1.37481689453125
quilt,4,1.0,1.0,-2.3870391845703125
racer,4,0.0,1.0,-1.757965087890625
report,2,1.0,0.0,-2.31243896484375
roadtripper,2,0.0,0.0,-1.2972412109375
routine,1,1.0,1.0,-2.31158447265625
salesman,3,0.0,0.0,-1.1146647135416667
saleswoman,3,0.0,0.0,-0.7967936197916666
salmon,3,1.0,1.0,-1.7189127604166667
scene,1,1.0,0.0,-2.235107421875
screw,4,1.0,1.0,-2.2069549560546875
scribe,2,0.0,1.0,-1.8751220703125
script,2,1.0,0.0,-2.250762939453125
sculptor,7,0.0,1.0,-1.2522321428571428
seamster,8,0.0,1.0,-1.693389892578125
seamstress,4,0.0,1.0,-1.238311767578125
section,2,1.0,1.0,-2.468994140625
shirt,2,1.0,1.0,-2.062744140625
shopkeeper,3,0.0,0.0,-1.6302897135416667
sideburn,3,1.0,1.0,-2.0308837890625
silk,4,1.0,1.0,-2.2227325439453125
silverware,3,1.0,1.0,-1.5523681640625
singer,1,0.0,0.0,-1.45263671875
snack,3,1.0,0.0,-1.9527994791666667
soloist,1,0.0,0.0,-1.59423828125
sonata,1,1.0,0.0,-1.9063720703125
song,1,1.0,0.0,-2.078857421875
steak,7,1.0,1.0,-1.81005859375
stone,7,1.0,1.0,-2.4238717215401784
stubble,3,1.0,1.0,-2.0265299479166665
student,4,0.0,1.0,-1.769561767578125
suitcase,2,1.0,1.0,-1.96905517578125
surface,7,1.0,1.0,-2.2435215541294644
surgeon,4,0.0,1.0,-2.3125457763671875
suv,6,1.0,1.0,-2.02862548828125
tailor,12,0.0,1.0,-1.7433369954427083
tank,3,1.0,1.0,-1.7967529296875
teacher,2,0.0,1.0,-1.882568359375
telemarketer,3,0.0,0.0,-1.1455891927083333
tent,2,1.0,1.0,-2.18023681640625
thread,4,1.0,1.0,-2.0903167724609375
toy,3,1.0,1.0,-1.7655029296875
tractor,3,1.0,1.0,-1.885986328125
trader,3,0.0,0.0,-1.6669921875
traveller,2,0.0,0.0,-1.28857421875
truck,3,1.0,1.0,-1.9947509765625
tub,2,1.0,1.0,-2.39837646484375
tuna,3,1.0,1.0,-1.4636637369791667
turkey,4,1.0,0.0,-1.4415283203125
upholsterer,4,0.0,0.0,-1.06231689453125
valve,4,1.0,1.0,-2.214569091796875
van,3,1.0,1.0,-2.1043497721354165
vegetable,3,1.0,1.0,-2.0108642578125
vehicle,3,1.0,1.0,-2.062255859375
verse,2,1.0,1.0,-3.2501068115234375
view,2,1.0,1.0,-2.827850341796875
violin,2,1.0,1.0,-1.75848388671875
violinist,2,0.0,1.0,-0.992431640625
waiter,3,0.0,1.0,-1.5834554036458333
waitress,3,0.0,1.0,-1.333251953125
wall,4,1.0,1.0,-2.519378662109375
window,3,1.0,1.0,-1.8072509765625
windshield,5,1.0,1.0,-1.531494140625
woman,5,0.0,1.0,-1.593603515625
wood,11,1.0,1.0,-1.9929365678267046
wool,5,1.0,0.0,-1.971435546875
worker,4,0.0,1.0,-1.874481201171875
wound,4,1.0,1.0,-2.4609527587890625
yarn,5,1.0,1.0,-2.1471923828125
