noun,nsubj,dobj,subj_ratio,label
jeweler,6159,2193,0.7374281609195402,agent
artisan,44367,15653,0.7392035988003999,agent
board,5282815,1842417,0.7414235775059675,patient
upholsterer,4762,1569,0.7521718527878692,agent
man,118628053,38397222,0.7554710730485904,agent
clerk,1102324,354174,0.7568317979152734,agent
businesswoman,1243,399,0.7570036540803897,agent
orator,258708,80327,0.7630716592682172,agent
musician,181064,54590,0.7683468135486773,agent
person,30066154,9017006,0.7692866697575119,agent
cook,1163462,344273,0.771662128955022,agent
janitor,25751,7495,0.7745593454851711,agent
surgeon,818849,235390,0.7767204590230489,agent
captain,3520980,1007984,0.7774360758884372,agent
clarinetist,349,99,0.7790178571428571,agent
dealer,356694,100452,0.7802627606935202,agent
motorist,13248,3707,0.7813624299616633,agent
painter,665930,185533,0.7821009251135986,agent
waiter,472765,131436,0.7824631207164503,agent
hiker,3206,884,0.7838630806845965,agent
actor,762953,206485,0.7870054608959005,agent
confectioner,4583,1232,0.788134135855546,agent
pilot,698127,183065,0.7922529936722077,agent
camper,12132,3115,0.7956975142651014,agent
traveller,635431,161745,0.7971025219023151,agent
mover,86076,21584,0.7995169979565299,agent
potter,184141,44649,0.8048472398269155,agent
journalist,218003,49864,0.8138479170633187,agent
peddler,22861,5156,0.8159688760395474,agent
mason,543522,120721,0.8182577761451758,agent
photographer,146475,32196,0.8198028779152744,agent
sculptor,170383,36839,0.8222244742353612,agent
businessman,99383,20769,0.8271439509954058,agent
scribe,92842,19162,0.8289168243991286,agent
blogger,238,49,0.8292682926829268,agent
student,5449819,1109117,0.8308998593674339,agent
essayist,17643,3552,0.83241330502477,agent
baker,679202,136412,0.8327493152398071,agent
shopkeeper,53019,10509,0.8345768794862108,agent
carver,70759,13616,0.8386251851851851,agent
artist,2067450,397291,0.8388102441595283,agent
waitress,151664,29140,0.8388309993141745,agent
poet,3479718,666131,0.8393257931005206,agent
salesman,166958,31609,0.8408144354298549,agent
trader,254374,45692,0.8477268334299788,agent
teacher,7198793,1241541,0.852903806887263,agent
worker,2303798,382635,0.8575676370860542,agent
novelist,262237,43347,0.8581502958270066,agent
soloist,6895,867,0.8883019840247359,agent
broadcaster,9727,1109,0.8976559616094499,agent
telemarketer,176,19,0.9025641025641026,agent
announcer,34302,3440,0.9088548566583647,agent
author,9122947,898452,0.9103466492053655,agent
narrator,496988,37316,0.9301596095106905,agent
patissier,20,0,1.0,agent
roadtripper,0,0,,
