noun,num_counts,accuracy,overlap,avg_LL_delta
peddler,3,1.0,1.0,16.282443265196665
pepper,3,1.0,1.0,-13.72105301141
person,30,1.0,1.0,15.861031489339664
photographer,2,1.0,1.0,17.945024728985
pianist,2,1.0,1.0,16.227689000399998
piano,2,0.0,0.0,3.185952888
pie,3,1.0,1.0,-9.354659541056668
pilot,7,1.0,1.0,16.675428211391427
pizza,3,1.0,1.0,-8.977815450229999
plane,3,0.0,1.0,12.013164933256668
poem,2,1.0,1.0,-11.99773772983
poet,2,1.0,1.0,16.064324546180003
portraitist,4,1.0,1.0,15.32509936055
pot,3,1.0,1.0,-6.365207981066667
potato,3,1.0,1.0,-11.940839910443332
potter,3,1.0,1.0,16.511089550133335
product,3,1.0,1.0,-6.927282323
professor,2,1.0,1.0,18.086359934735
proposal,2,1.0,0.0,-7.863754831485
pumpkin,4,1.0,1.0,-8.677634871515
quilt,4,1.0,1.0,-12.0012976505075
racer,4,1.0,1.0,13.95060544757
report,2,1.0,1.0,-13.20870663187
roadtripper,2,1.0,1.0,14.34545759031
routine,1,0.0,0.0,1.98923361
salesman,3,1.0,1.0,17.579705777486666
saleswoman,3,1.0,1.0,17.876892642313333
salmon,3,1.0,1.0,-10.158065357423332
scene,1,1.0,1.0,-11.3368197427
screw,4,0.25,0.75,1.6915138695
scribe,2,1.0,1.0,15.417291974085
script,2,1.0,1.0,-12.591398748909999
sculptor,7,1.0,1.0,17.82632897824286
seamster,8,1.0,1.0,15.427613589837499
seamstress,4,1.0,1.0,14.46044941965
section,2,1.0,1.0,-7.782250304150001
shirt,2,1.0,1.0,-15.7391291256
shopkeeper,3,1.0,1.0,17.457413068003333
sideburn,3,1.0,1.0,-4.3489601961333335
silk,4,1.0,1.0,-14.91306324013
silverware,3,1.0,1.0,-10.306392287346666
singer,1,1.0,1.0,16.63755011873
snack,3,1.0,1.0,-11.226273097346668
soloist,1,1.0,1.0,15.20884965533
sonata,1,1.0,1.0,-6.1061954946000006
song,1,0.0,1.0,0.5996781200000001
steak,7,1.0,1.0,-13.344652826135714
stone,7,0.8571428571428571,0.8571428571428571,-2.807985696671429
stubble,3,1.0,1.0,-12.794069220843333
student,4,1.0,1.0,14.6161394438675
suitcase,2,0.0,0.0,1.8389842775000003
surface,7,1.0,1.0,-13.590400725510003
surgeon,4,1.0,1.0,15.666267137525002
suv,6,0.5,0.5,3.853555450893333
tailor,12,1.0,1.0,15.685719641358332
tank,3,0.0,0.0,8.32437704778
teacher,2,1.0,1.0,17.581124094055
telemarketer,3,1.0,1.0,16.5690272238
tent,2,1.0,1.0,-9.09009026225
thread,4,1.0,1.0,-9.8201734498075
toy,3,1.0,1.0,-7.177088066953334
tractor,3,0.0,1.0,13.6258904855
trader,3,1.0,1.0,17.5674844288
traveller,2,1.0,1.0,14.517773845325
truck,3,0.0,1.0,11.240152800583333
tub,2,1.0,1.0,-8.653899017015
tuna,3,1.0,1.0,-10.903508594309999
turkey,4,1.0,1.0,-7.490079604505
upholsterer,4,1.0,1.0,14.060286706229999
valve,4,0.5,0.5,-1.9088965991750002
van,3,0.0,0.0,11.246582834246666
vegetable,3,1.0,1.0,-13.983414925626667
vehicle,3,0.0,1.0,10.230021756416667
verse,2,1.0,0.0,-10.870892328330001
view,2,1.0,1.0,-14.47756861163
violin,2,0.0,0.0,2.7585895795
violinist,2,1.0,1.0,16.594007686734997
waiter,3,1.0,1.0,15.692150157486665
waitress,3,1.0,1.0,15.628647437953333
wall,4,1.0,1.0,-10.5022200678975
window,3,1.0,1.0,-13.15981946142
windshield,5,1.0,1.0,-14.128789776295998
woman,5,1.0,1.0,15.163072089505999
wood,11,1.0,1.0,-10.95988816907
wool,5,1.0,1.0,-12.611762254723999
worker,4,1.0,1.0,15.413801785235
wound,4,1.0,1.0,-16.358627791860002
yarn,5,1.0,1.0,-6.40586446646
