noun,num_counts,accuracy,overlap,avg_LL_delta
novelist,2,0.0,1.0,-1.2308239936828613
orator,2,0.0,1.0,-1.8175611644983292
packaging,4,1.0,1.0,-2.0498178303241734
painter,4,0.0,1.0,-2.2930629029870033
panel,4,1.0,1.0,-2.5488546062260866
paper,4,1.0,1.0,-1.5641796551644802
passage,6,1.0,1.0,-1.7769767493009567
pastry,3,1.0,1.0,-2.8234637156128883
patissier,3,0.0,1.0,-2.6279745250940323
pattern,5,1.0,1.0,-2.4542623311281204
peddler,3,0.0,1.0,-2.2157431120673814
pepper,3,1.0,1.0,-2.5168495029211044
person,30,0.0,1.0,-1.730449615418911
photographer,2,0.0,1.0,-2.221298713237047
pianist,2,0.0,1.0,-1.9041370823979378
piano,2,1.0,1.0,-2.045634739100933
pie,3,1.0,1.0,-2.9654890348513923
pilot,7,0.0,1.0,-1.9001427910157613
pizza,3,1.0,1.0,-2.365506755808989
plane,3,1.0,1.0,-2.173630734284719
poem,2,1.0,1.0,-2.093998447060585
poet,2,0.0,1.0,-1.8515630140900614
portraitist,4,0.0,1.0,-1.997294008731842
pot,3,1.0,1.0,-2.5094184751311936
potato,3,1.0,1.0,-2.6723721846938133
potter,3,0.0,1.0,-2.255571370323499
product,3,1.0,1.0,-1.8938410530487693
professor,2,0.0,1.0,-1.004090815782547
proposal,2,1.0,1.0,-1.486000008881092
pumpkin,4,1.0,1.0,-2.8981177154928446
quilt,4,1.0,1.0,-2.3316154032945633
racer,4,0.0,1.0,-1.7312164083123207
report,2,1.0,1.0,-1.7039374858140945
roadtripper,2,0.0,1.0,-2.262679163366556
routine,1,1.0,1.0,-1.8599978238344197
salesman,3,0.0,1.0,-1.5964104135831196
saleswoman,3,0.0,1.0,-1.649147962530454
salmon,3,1.0,1.0,-2.6708221584558487
scene,1,1.0,1.0,-1.942998006939888
screw,4,1.0,1.0,-2.656986990943551
scribe,2,0.0,1.0,-1.5616865158081055
script,2,1.0,1.0,-1.8578720018267632
