noun,num_counts,accuracy,overlap,avg_LL_delta
pastry,3,1.0,1.0,-3.940560162666667
patissier,3,0.0,1.0,-4.9028582363333335
pattern,5,1.0,1.0,-2.3351030600000002
peddler,3,0.0,1.0,-3.0733479373333332
pepper,3,1.0,1.0,-3.4179650826666665
person,30,0.0,1.0,-4.28753507515
photographer,2,0.0,1.0,-3.3353045664999996
pianist,2,0.0,1.0,-3.256029115
piano,2,1.0,1.0,-1.9962092
pie,3,1.0,1.0,-3.354084215
pilot,7,0.0,1.0,-2.343956845714285
pizza,3,1.0,1.0,-3.306122164
plane,3,1.0,1.0,-1.41363199
poem,2,1.0,1.0,-1.33520219
poet,2,0.0,1.0,-3.7764746975
portraitist,4,0.0,1.0,-4.09211876525
pot,3,1.0,1.0,-2.1081930066666668
potato,3,1.0,1.0,-4.621099437000001
potter,3,0.0,1.0,-4.7184403936666675
product,3,0.3333333333333333,0.3333333333333333,-0.025025403333333363
professor,2,0.0,1.0,-3.617510632
proposal,2,1.0,1.0,-2.043369575
pumpkin,4,1.0,1.0,-4.59410959775
quilt,4,1.0,1.0,-3.14159960375
racer,4,0.0,1.0,-3.0672500910000005
report,2,0.5,0.5,-0.06344268999999997
roadtripper,2,0.0,1.0,-3.9452102835
routine,1,1.0,1.0,-0.1820296999999999
salesman,3,0.0,1.0,-1.1206818266666667
saleswoman,3,0.0,1.0,-1.9130497850000001
salmon,3,1.0,1.0,-3.607512954
scene,1,1.0,1.0,-0.3800257999999999
screw,4,1.0,1.0,-2.1821013595
scribe,2,0.0,1.0,-2.688224255
script,2,1.0,1.0,-0.47208461
sculptor,7,0.0,1.0,-3.5449866132857144
seamster,8,0.0,1.0,-4.1933206555625
seamstress,4,0.0,1.0,-4.198882622
section,2,1.0,1.0,-1.84198704
shirt,2,1.0,1.0,-1.7336558775000002
shopkeeper,3,0.0,1.0,-2.8912552753333336
sideburn,3,1.0,1.0,-5.256995491
silk,4,1.0,1.0,-3.26708268825
silverware,3,1.0,1.0,-1.9010680366666666
singer,1,0.0,1.0,-2.0646544
snack,3,1.0,1.0,-2.5318555066666666
soloist,1,0.0,1.0,-2.70403345
sonata,1,1.0,1.0,-1.81501581
song,1,1.0,1.0,-0.7967842999999999
steak,7,1.0,1.0,-2.8110880028571428
stone,7,1.0,1.0,-3.544146377428571
stubble,3,1.0,1.0,-3.679514487
student,4,0.0,1.0,-3.66992741425
suitcase,2,1.0,1.0,-2.268144017
surface,7,1.0,1.0,-1.1854341485714286
surgeon,4,0.0,1.0,-3.82945540725
suv,6,1.0,1.0,-1.4864313616666667
tailor,12,0.0,1.0,-3.767012836416667
tank,3,1.0,1.0,-1.6360579166666664
teacher,2,0.0,1.0,-3.31655869
telemarketer,3,0.0,1.0,-1.86282663
tent,2,1.0,1.0,-2.5518124899999997
thread,4,1.0,1.0,-2.569458359
toy,3,1.0,1.0,-2.1714934953333334
tractor,3,1.0,1.0,-1.69687516
trader,3,0.0,1.0,-2.0752490033333335
traveller,2,0.0,1.0,-3.702081556
truck,3,1.0,1.0,-1.0354013
tub,2,1.0,1.0,-2.5303918889999997
